"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2019-09-28","87.8",-1.44411649623002,6.94022199729789,"Justin Verlander",571718,434378,"null","foul",,,,,8,"null","R","L","R","LAA","HOU","S","null","null",2,2,2019,0.28607557251968,0.459411411228298,0.0219079725905301,1.63735048968674,"null","null","null",2,5,"Bot","null","null",,,"455139",,"190929_023447",2.92883783118794,-127.550686560328,-7.53321329781519,2.46920106087534,25.1887150381603,-26.0370050667286,3.32,1.52,"240","null","null",86.7,"2502",5.6,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",54.9323432141637,"null","null","null","null","null","null","null",38,"5","Slider",3,0,3,0,0,3,3,0,"Infield shift","Strategic"
"SL","2019-09-28","86.5",-1.6433992671199,6.8511150900684,"Justin Verlander",571718,434378,"null","swinging_strike",,,,,2,"null","R","L","R","LAA","HOU","S","null","null",2,1,2019,0.41258774157124,0.279412925827316,0.0579779093192812,3.19671235448936,"null","null","null",2,5,"Bot","null","null",,,"455139",,"190929_023422",3.19847951795448,-125.904959163246,-3.03977990623866,3.64288322468763,25.0836338913652,-28.9186233903993,3.32,1.52,"null","null","null",85.5,"2475",5.6,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",54.9050006370731,"null","null","null","null","null","null","null",38,"4","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"FF","2019-09-28","93.6",-1.51517102860858,6.98256777723525,"Justin Verlander",571718,434378,"null","foul",,,,,2,"null","R","L","R","LAA","HOU","S","null","null",2,0,2019,-0.622829414553808,1.6252571016304,0.122919911560174,2.90531935722908,"null","null","null",2,5,"Bot","null","null",,,"455139",,"190929_023400",5.51577705275856,-135.897175496071,-8.21390249900887,-8.76434225788811,28.4082992238168,-10.8243022814202,3.32,1.52,"null","null","null",92.8,"2574",5.9,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",54.639942476017,"null","null","null","null","null","null","null",38,"3","4-Seam Fastball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"FF","2019-09-28","95.1",-1.39354247476076,6.97460489386379,"Justin Verlander",571718,434378,"null","ball",,,,,12,"null","R","L","R","LAA","HOU","B","null","null",1,0,2019,-0.762749956951096,1.60832098250621,0.338072590291288,4.62393298174455,"null","null","null",2,5,"Bot","null","null",,,"455139",,"190929_023338",6.13151125998791,-138.213104630058,-3.96943030796341,-10.9304230459853,31.0287419948737,-11.3872188930985,3.32,1.59,"null","null","null",94,"2563",5.7,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",54.7925946359015,"null","null","null","null","null","null","null",38,"2","4-Seam Fastball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"FF","2019-09-28","94.7",-1.46635965885603,6.98372856324926,"Justin Verlander",571718,434378,"null","ball",,,,,12,"null","R","L","R","LAA","HOU","B","null","null",0,0,2019,-0.624937715046753,1.69625944518757,0.529667359613874,3.82380003409784,"null","null","null",2,5,"Bot","null","null",,,"455139",,"190929_023321",6.56180003690148,-137.707324309223,-6.31350475375737,-9.29675444975281,29.1645430246837,-9.59196144313417,3.32,1.46,"null","null","null",94.5,"2560",6.1,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",54.4008574661213,"null","null","null","null","null","null","null",38,"1","4-Seam Fastball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","87.0",-1.50615710762195,6.91755125576694,"Justin Verlander",664058,434378,"strikeout","swinging_strike",,,,,12,"David Fletcher strikes out swinging.  ","R","R","R","LAA","HOU","S",2,"null",0,2,2019,0.701653254332869,0.398966030270846,1.42025150972466,3.3286740289958,"null","null","null",1,5,"Bot","null","null",,,"455139",,"190929_023243",5.54927486753102,-126.620889051961,-3.24403467077027,6.35920547388028,23.610035094047,-27.5972196574129,3.22,1.54,"null","null","null",86.2,"2626",5.6,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",54.921014009994,"null","null","0.00",1,0,0,"null",37,"4","Slider",3,0,3,0,0,3,3,0,"Standard","Standard"
"CU","2019-09-28","80.4",-1.82782274429453,6.63807476333074,"Justin Verlander",664058,434378,"null","foul",,,,,7,"null","R","R","R","LAA","HOU","S","null","null",0,2,2019,0.394731413023546,-1.09430504518023,-0.442580597709849,1.52182971892119,"null","null","null",1,5,"Bot","null","null",,,"455139",,"190929_023212",2.30109205663647,-116.90082062576,-2.61452466003828,3.00621614699077,22.5166239416167,-41.5235507735075,3.22,1.54,"134","null","null",78.4,"2814",5,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",55.5007952199938,"null","null","null","null","null","null","null",37,"3","Curveball",3,0,3,0,0,3,3,0,"Standard","Standard"
"CU","2019-09-28","78.8",-1.53956022437067,6.86601393441508,"Justin Verlander",664058,434378,"null","called_strike",,,,,1,"null","R","R","R","LAA","HOU","S","null","null",0,1,2019,0.500680720416493,-1.20546399632169,-0.30928454842592,3.10748483042187,"null","null","null",1,5,"Bot","null","null",,,"455139",,"190929_023150",1.74411319639215,-114.524920606084,0.784469319151289,3.91352500114322,21.2171343936571,-42.7932512938971,3.13,1.41,"null","null","null",77.2,"2823",5.2,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",55.2775462428323,"null","null","null","null","null","null","null",37,"2","Curveball",3,0,3,0,0,3,3,0,"Standard","Standard"
"SL","2019-09-28","87.9",-1.59917771327307,6.96632483836066,"Justin Verlander",664058,434378,"null","called_strike",,,,,6,"null","R","R","R","LAA","HOU","S","null","null",0,0,2019,0.179606992863497,0.700633190632425,0.679768008047258,2.39682291265204,"null","null","null",1,5,"Bot","null","null",,,"455139",,"190929_023131",5.09140045981646,-127.76052428985,-6.34355921521201,1.00344526112668,23.3620753319097,-23.6909962127701,3.29,1.63,"null","null","null",87.2,"2555",5.6,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",54.8607903874935,"null","null","null","null","null","null","null",37,"1","Slider",3,0,3,0,0,3,3,0,"Standard","Standard"
"SL","2019-09-28","87.2",-1.53949005488406,6.92010717481104,"Justin Verlander",592230,434378,"strikeout","swinging_strike",,,,,9,"Kaleb Cowart strikes out swinging.  ","R","L","R","LAA","HOU","S",2,"null",2,2,2019,0.492909219181228,0.633870685755406,0.738926838246831,1.73680722186666,"null","null","null",0,5,"Bot","null","null",,,"455139",,"190929_023058",4.42340088430623,-126.706280786,-7.46002911115617,4.32530462800198,24.3253773445778,-24.3311315153737,3.49,1.61,"null","null","null",86,"2601",5.5,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",55.0158803696986,"null","null","0.00",1,0,0,"null",36,"6","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
